№ по частотному списку,"произношение (перетащил мышкой со словаря LINGVO, www.lingvoda.ru)",УПРОЩЕННЫЙ иероглиф,"традиционный иероглиф, до №100 (если он отличается от упрощенного)",русский перевод (компьютер-переводом),,Компонент 1,Компонент 2,Компонент 3,Компонент 4,,MAO story,Моя?
1886,xian2,贤,,добродетельный; высоконравственный,добродетельный; высоконравственный,,,,,,,
1887,he4,赫,,герц,герц,,,,,,,
1888,he1,呵,,выдохнуть; дохнуть; дышать,выдохнуть; дохнуть; дышать,,,,,,,
1889,zong1,踪,,след,след,,,,,,,
1890,yun2,匀,,ровный; поровну,ровный; поровну,,,,,,,
1891,guan4,罐,,горшок; кувшин; банка,горшок; кувшин; банка,,,,,,,
1892,xiang4,巷,,переулок,переулок,,,,,,,
1893,tong3,筒,,труба; трубка; цилиндр,труба; трубка; цилиндр,,,,,,,
1894,qi2,歧,,ответвляться; ответвление; развилка (дорог),ответвляться; ответвление; развилка (дорог),,,,,,,
1895,quan4,券,,билет; облигация; документ,билет; облигация; документ,,,,,,,
1896,lie4,劣,,плохой; дурной; скверный,плохой; дурной; скверный,,,,,,,
1897,dang4,档,,полка; стеллаж,полка; стеллаж,,,,,,,
1898,wang1,汪,,скапливаться (о жидкости); лужа,скапливаться (о жидкости); лужа,,,,,,,
1899,zheng1,睁,,раскрыть [открыть] глаза,раскрыть [открыть] глаза,,,,,,,
1900,huang1,慌,,суетиться; торопиться; впопыхах; торопливо; суматошно,суетиться; торопиться; впопыхах; торопливо; суматошно,,,,,,,
1901,die1,跌,,падать (о человеке),падать (о человеке),,,,,,,
1902,qin2,秦,,Цинь (династия),Цинь (династия),,,,,,,
1903,qi1,戚,,близкий; родственник,близкий; родственник,,,,,,,
1904,jin3,谨,,неукоснительный; строгий; твёрдый,неукоснительный; строгий; твёрдый,,,,,,,
1905,wo4,卧,,лежать,лежать,,,,,,,
1906,sha4,厦,,высотное здание; высокий дом,высотное здание; высокий дом,,,,,,,
1907,ya2,芽,,почки (растения); ростки; побеги,почки (растения); ростки; побеги,,,,,,,
1908,jie4,戒,,остерегаться; избегать; предостережение,остерегаться; избегать; предостережение,,,,,,,
1909,nao3,恼,,"сердить(ся); гневаться, негодовать; злить(ся)","сердить(ся); гневаться, негодовать; злить(ся)",,,,,,,
1910,nu2,奴,,раб; рабский; поработить,раб; рабский; поработить,,,,,,,
1911,kuang4,框,,рама; рамка; оправа (для очков),рама; рамка; оправа (для очков),,,,,,,
1912,ji1,肌,,мускул; мышца; мышечный,мускул; мышца; мышечный,,,,,,,
1913,zhi2,殖,,размножать(ся),размножать(ся),,,,,,,
1914,ying2,盈,,наполнить(ся); полный,наполнить(ся); полный,,,,,,,
1915,ti1,踢,,пинать; бить ногой; лягать,пинать; бить ногой; лягать,,,,,,,
1916,zhuan1,砖,,кирпич; кирпичный,кирпич; кирпичный,,,,,,,
1917,yi4,役,,трудовая повинность; принудительный труд,трудовая повинность; принудительный труд,,,,,,,
1918,xi1,溪,,горный ручей,горный ручей,,,,,,,
1919,diao1,雕,,вырезать; гравировать,вырезать; гравировать,,,,,,,
1920,lu2,卢,,чёрный; глубокий,чёрный; глубокий,,,,,,,
1921,shi4,逝,,уходить; проходить (о времени),уходить; проходить (о времени),,,,,,,
1922,she2,蛇,,змея; змеиный,змея; змеиный,,,,,,,
1923,la4,辣,,"горький; острый; крепкий (напр., о табаке); горько","горький; острый; крепкий (напр., о табаке); горько",,,,,,,
1924,jian3,剪,,1) стричь; разрезать; 2) соч. ножницы,1) стричь; разрезать; 2) соч. ножницы,,,,,,,
1925,zi1,咨,,совещаться; консультироваться,совещаться; консультироваться,,,,,,,
1926,gua1,刮,,1) скоблить; сдирать; счищать; брить; 2) дуть,1) скоблить; сдирать; счищать; брить; 2) дуть,,,,,,,
1927,bao3,堡,,"крепость (в географических названиях читается также [bu], [pu] )","крепость (в географических названиях читается также [bu], [pu] )",,,,,,,
1928,ai1,挨,,"рядом, около","рядом, около",,,,,,,
1929,peng3,捧,,держать; нести (двумя руками); подносить,держать; нести (двумя руками); подносить,,,,,,,
1930,pan4,叛,,"дать оценку; оценить (напр., экзаменационную работу)","дать оценку; оценить (напр., экзаменационную работу)",,,,,,,
1931,zhe4,浙,,провинция Чжэцзян,провинция Чжэцзян,,,,,,,
1932,dian1,颠,,трясти,трясти,,,,,,,
1933,bi4,碧,,зелёная яшма,зелёная яшма,,,,,,,
1934,chan4,颤,,дрожать; трястись; трепетать,дрожать; трястись; трепетать,,,,,,,
1935,mo2,膜,,перепонка; плёнка; плева; оболочка,перепонка; плёнка; плева; оболочка,,,,,,,
1936,lian2,莲,,лотос,лотос,,,,,,,
1937,she2,舌,,язык; язычок,язык; язычок,,,,,,,
1938,ke3,渴,,испытывать жажду; жажда; хотеть пить,испытывать жажду; жажда; хотеть пить,,,,,,,
1939,chi3,齿,,зубы; упрощённый,зубы; упрощённый,,,,,,,
1940,chang4,倡,,выступить с инициативой; положить начало,выступить с инициативой; положить начало,,,,,,,
1941,jiang1,姜,,имбирь,имбирь,,,,,,,
1942,yi2,姨,,тётка (по женской линии),тётка (по женской линии),,,,,,,
1943,jiao1,骄,,зазнаваться; гордиться; высокомерный; гордый,зазнаваться; гордиться; высокомерный; гордый,,,,,,,
1944,ni3,拟,,"предполагать, намереваться; намечать","предполагать, намереваться; намечать",,,,,,,
1945,po1,泼,,"вылить; выплеснуть (напр., воду)","вылить; выплеснуть (напр., воду)",,,,,,,
1946,lin2,淋,,полить; намочить; мокнуть,полить; намочить; мокнуть,,,,,,,
1947,liu1,溜,,скользить; съезжать (с горы),скользить; съезжать (с горы),,,,,,,
1948,lao1,捞,,вылавливать; доставать из воды,вылавливать; доставать из воды,,,,,,,
1949,peng2,棚,,навес,навес,,,,,,,
1950,zhao4,罩,,накрывать; покрывать,накрывать; покрывать,,,,,,,
1951,miao2,苗,,всходы; ростки; побеги,всходы; ростки; побеги,,,,,,,
1952,fu4,腹,,живот; брюшная полость; брюшной,живот; брюшная полость; брюшной,,,,,,,
1953,sang1,桑,,тутовое дерево; тутовник,тутовое дерево; тутовник,,,,,,,
1954,ling2,铃,,колокольчик; звонок,колокольчик; звонок,,,,,,,
1955,kan3,砍,,рубить; отрубить; разрубить,рубить; отрубить; разрубить,,,,,,,
1956,xia2,霞,,заря,заря,,,,,,,
1957,pin4,聘,,приглашать (на работу),приглашать (на работу),,,,,,,
1958,fa2,伐,,"рубить, валить","рубить, валить",,,,,,,
1959,quan2,拳,,кулак,кулак,,,,,,,
1960,xu1,吁,,вздыхать,вздыхать,,,,,,,
1961,miao4,庙,,храм; кумирня,храм; кумирня,,,,,,,
1962,yong1,庸,,обычный; заурядный; обывательский,обычный; заурядный; обывательский,,,,,,,
1963,zhen3,诊,,осматривать больного; ставить диагноз,осматривать больного; ставить диагноз,,,,,,,
1964,che3,扯,,"разорвать, порвать; оторвать","разорвать, порвать; оторвать",,,,,,,
1965,jie2,捷,,одержать победу; победа,одержать победу; победа,,,,,,,
1966,liao2,僚,,чиновник,чиновник,,,,,,,
1967,bing3,丙,,третий циклический знак (из десяти),третий циклический знак (из десяти),,,,,,,
1968,cui1,催,,торопить; подгонять; побуждать,торопить; подгонять; побуждать,,,,,,,
1969,jian4,践,,попирать; топтать,попирать; топтать,,,,,,,
1970,sao3,嫂,,невестка; жена старшего брата,невестка; жена старшего брата,,,,,,,
1971,jiang1,疆,,граница; пределы,граница; пределы,,,,,,,
1972,ling2,凌,,лёд,лёд,,,,,,,
1973,keng1,坑,,яма; впадина; углубление,яма; впадина; углубление,,,,,,,
1974,huo4,祸,,бедствие; несчастье; беда,бедствие; несчастье; беда,,,,,,,
1975,cheng1,撑,,подпирать; поддерживать; опираться на,подпирать; поддерживать; опираться на,,,,,,,
1976,yu3,羽,,перо; оперение,перо; оперение,,,,,,,
1977,lian2,廉,,честность; бескорыстие; честный; бескорыстный,честность; бескорыстие; честный; бескорыстный,,,,,,,
1978,shai4,晒,,печь; палить (о солнце),печь; палить (о солнце),,,,,,,
1979,wai1,歪,,кривой; косой; исправиться; покоситься,кривой; косой; исправиться; покоситься,,,,,,,
1980,shan4,扇,,обмахиваться; махать,обмахиваться; махать,,,,,,,
1981,bang4,棒,,палка,палка,,,,,,,
1982,bian4,辨,,различать; отличать,различать; отличать,,,,,,,
1983,zhou4,宙,,космос; Вселенная; мир; космический,космос; Вселенная; мир; космический,,,,,,,
1984,ru2,儒,,конфуцианство; конфуцианский,конфуцианство; конфуцианский,,,,,,,
1985,ping2,屏,,задерживать; затаить (дыхание),задерживать; затаить (дыхание),,,,,,,
1986,sui4,遂,,"удовлетворять; исполнять (напр., желания)","удовлетворять; исполнять (напр., желания)",,,,,,,
1987,cai4,蔡,,Цай (фамилия),Цай (фамилия),,,,,,,
1988,cou4,凑,,собирать(ся),собирать(ся),,,,,,,
1989,bu3,卜,,"гадать на панцире черепахи; дарить, жаловать","гадать на панцире черепахи; дарить, жаловать",,,,,,,
1990,du3,堵,,"завалить; засыпать; закрыть; заткнуть (напр., дыру); загородить (напр., дорогу)","завалить; засыпать; закрыть; заткнуть (напр., дыру); загородить (напр., дорогу)",,,,,,,
1991,xian1,纤,,бечева; канат,бечева; канат,,,,,,,
1992,zhou4,皱,,морщина; складка; морщинистый,морщина; складка; морщинистый,,,,,,,
1993,qiao2,侨,,эмигрант,эмигрант,,,,,,,
1994,qing2,晴,,"ясный, безоблачный; проясниться","ясный, безоблачный; проясниться",,,,,,,
1995,bin1,滨,,берег; побережье,берег; побережье,,,,,,,
1996,zhu3,煮,,варить; кипятить,варить; кипятить,,,,,,,
1997,ru3,辱,,позор; стыд; оскорбление,позор; стыд; оскорбление,,,,,,,
1998,zhai2,宅,,дом; жилище; квартира,дом; жилище; квартира,,,,,,,
1999,ge2,葛,,пуерария волосистая,пуерария волосистая,,,,,,,
2000,hen2,痕,,шрам; рубец; след,шрам; рубец; след,,,,,,,
2001,qian3,遣,,посылать; командировать,посылать; командировать,,,,,,,
2002,bo2,驳,,опровергать; оспаривать,опровергать; оспаривать,,,,,,,
2003,sheng2,绳,,верёвка; канат; трос,верёвка; канат; трос,,,,,,,
2004,peng2,彭,,Пэн (фамилия); много; долгий,Пэн (фамилия); много; долгий,,,,,,,
2005,yu2,娱,,веселье; веселиться; развлекаться,веселье; веселиться; развлекаться,,,,,,,
2006,qing1,卿,,сановник; министр (в древнем Китае),сановник; министр (в древнем Китае),,,,,,,
2007,ji4,忌,,"1. завидовать, ревновать 
2. бояться, опасаться",завидовать; ревновать,морской конёк,сердце,,,,"Морская лошадь села на большое сердце и раздавило его. Она всегда ЗАВИДОВАЛА и РЕВНОВАЛА к нему. Потому что его все любили, а ее черную(4 тон), мокрую и скользкую все БОЯЛИСЬ. ",
2008,pei2,赔,,"возмещать, компенсировать","возмещать, компенсировать",,,,,,,
2009,zeng4,赠,,дарить; преподносить,дарить; преподносить,,,,,,,
2010,fang2,妨,,мешать,мешать,,,,,,,
2011,dou3,抖,,"трясти; встряхивать, вытряхивать","трясти; встряхивать, вытряхивать",,,,,,,
2012,peng2,膨,,разбухать,разбухать,,,,,,,
2013,ting3,艇,,шлюпка; катер,шлюпка; катер,,,,,,,
2014,xie4,泄,,вылить; выпустить (газ),вылить; выпустить (газ),,,,,,,
2015,bai3,柏,,кипарис,кипарис,,,,,,,
2016,zao1,糟,,"винная гуща, барда","винная гуща, барда",,,,,,,
2017,nen4,嫩,,молодой; нежный,молодой; нежный,,,,,,,
2018,mei2,枚,,"сч. сл. для монет, медалей и т.п.","сч. сл. для монет, медалей и т.п.",,,,,,,
2019,ai3,矮,,"низкорослый, низкий","низкорослый, низкий",,,,,,,
2020,shuai1,摔,,упасть; грохнуться,упасть; грохнуться,,,,,,,
2021,kui4,愧,,"стыдиться, смущаться; стыд; совестно","стыдиться, смущаться; стыд; совестно",,,,,,,
2022,yue4,悦,,радоваться; радовать; радость,радоваться; радовать; радость,,,,,,,
2023,chen4,趁,,воспользоваться,воспользоваться,,,,,,,
2024,qi1,漆,,лак; лаковый,лак; лаковый,,,,,,,
2025,liang4,谅,,извинять,извинять,,,,,,,
2026,mian2,绵,,шёлковая вата,шёлковая вата,,,,,,,
2027,yuan1,冤,,несправедливый; несправедливость; напрасное обвинение; обида,несправедливый; несправедливость; напрасное обвинение; обида,,,,,,,
2028,gun4,棍,,палка; дубинка,палка; дубинка,,,,,,,
2029,chai1,拆,,вскрыть; распаковать,вскрыть; распаковать,,,,,,,
2030,ji1,饥,,голод; голодный,голод; голодный,,,,,,,
2031,ya1,押,,брать под стражу,брать под стражу,,,,,,,
2032,tao1,涛,,большие волны; валы,большие волны; валы,,,,,,,
2033,na4,娜,,в иностранных собственных именах женщин,в иностранных собственных именах женщин,,,,,,,
2034,xian2,嫌,,досадовать; быть недовольным; тяготиться,досадовать; быть недовольным; тяготиться,,,,,,,
2035,luan3,卵,,яйцеклетка; яйцо; икра,яйцеклетка; яйцо; икра,,,,,,,
2036,tan2,坛,,алтарь (для жертвоприношения),алтарь (для жертвоприношения),,,,,,,
2037,pang2,庞,,обширный; грандиозный; огромный,обширный; грандиозный; огромный,,,,,,,
2038,ban1,斑,,пятно,пятно,,,,,,,
2039,pei4,佩,,носить (на поясе),носить (на поясе),,,,,,,
2040,luo2,逻,,"обходить дозором, патрулировать","обходить дозором, патрулировать",,,,,,,
2041,ke1,柯,,топорище,топорище,,,,,,,
2042,yan1,咽,,глотка; зев,глотка; зев,,,,,,,
2043,pang4,胖,,толстый; жирный,толстый; жирный,,,,,,,
2044,peng2,蓬,,густой; заросший,густой; заросший,,,,,,,
2045,huang2,煌,,сверкать; сиять; сияющий; яркий,сверкать; сиять; сияющий; яркий,,,,,,,
2046,pu2,葡,,виноград,виноград,,,,,,,
2047,zhao4,兆,,"предзнаменование; предвещать; значимые, большие числа","предзнаменование; предвещать; значимые, большие числа",,,,,,,
2048,gang1,缸,,чан; глиняный кувшин; цилиндр,чан; глиняный кувшин; цилиндр,,,,,,,
2049,guo3,裹,,завёртывать; обёртывать; перевязывать (рану); бинтовать,завёртывать; обёртывать; перевязывать (рану); бинтовать,,,,,,,
2050,you4,诱,,завлекать; заманивать; соблазнять; совращать,завлекать; заманивать; соблазнять; совращать,,,,,,,
2051,ju1,拘,,задержать; арестовать,задержать; арестовать,,,,,,,
2052,wang4,妄,,нелепый; абсурдный; сумасбродный,нелепый; абсурдный; сумасбродный,,,,,,,
2053,biao1,彪,,тигрёнок,тигрёнок,,,,,,,
2054,cui1,摧,,сокрушить; разгромить; разрушить,сокрушить; разгромить; разрушить,,,,,,,
2055,pi3,匹,,"сч. сл. для лошадей, мулов и т. п.","сч. сл. для лошадей, мулов и т. п.",,,,,,,
2056,ke1,棵,,сч. сл. для деревьев,сч. сл. для деревьев,,,,,,,
2057,ting2,廷,,императорский дворец,императорский дворец,,,,,,,
2058,reng1,扔,,бросать; кидать,бросать; кидать,,,,,,,
2059,dun1,敦,,сердечный; искренний,сердечный; искренний,,,,,,,
2060,song4,颂,,прославлять; воспевать,прославлять; воспевать,,,,,,,
2061,jiang4,酱,,соевый соус,соевый соус,,,,,,,
2062,zhu1,株,,комель,комель,,,,,,,
2063,jia1,嘉,,прекрасный; хороший,прекрасный; хороший,,,,,,,
2064,ju2,菊,,хризантема,хризантема,,,,,,,
2065,can4,灿,,блестящий; яркий; сияющий,блестящий; яркий; сияющий,,,,,,,
2066,tao2,萄,,виноград; виноградный,виноград; виноградный,,,,,,,
2067,zhan1,沾,,смочить; намочить,смочить; намочить,,,,,,,
2068,hou2,侯,,удельный князь,удельный князь,,,,,,,
2069,yu4,御,,"управлять (напр., экипажем)","управлять (напр., экипажем)",,,,,,,
2070,sang3,嗓,,гортань; горло,гортань; горло,,,,,,,
2071,xu4,畜,,"скот, домашние животные","скот, домашние животные",,,,,,,
2072,fei4,肺,,лёгкие,лёгкие,,,,,,,
2073,yi4,毅,,"решительный, непоколебимый; твёрдый; твёрдость","решительный, непоколебимый; твёрдый; твёрдость",,,,,,,
2074,zhi4,秩,,порядок,порядок,,,,,,,
2075,niang4,酿,,гнать (спирт); изготавливать алкоголь,гнать (спирт); изготавливать алкоголь,,,,,,,
2076,zheng1,蒸,,пар; выпаривать,пар; выпаривать,,,,,,,
2077,zhi3,旨,,намерение; стремление; цель; смысл,намерение; стремление; цель; смысл,,,,,,,
2078,chi2,驰,,мчаться; нестись,мчаться; нестись,,,,,,,
2079,gou1,勾,,"отметить галочкой, птичкой (выделить в тексте)","отметить галочкой, птичкой (выделить в тексте)",,,,,,,
2080,huo4,惑,,сомневаться; колебаться,сомневаться; колебаться,,,,,,,
2081,xia2,狭,,узкий; тесный,узкий; тесный,,,,,,,
2082,shi1,狮,,лев,лев,,,,,,,
2083,die2,叠,,нагромождать; складывать в стопку; стопка,нагромождать; складывать в стопку; стопка,,,,,,,
2084,lan2,篮,,корзина; корзинка,корзина; корзинка,,,,,,,
2085,fei1,菲,,ароматный,ароматный,,,,,,,
2086,jian1,奸,,вероломный; коварный; лукавый; хитрый,вероломный; коварный; лукавый; хитрый,,,,,,,
2087,chan2,缠,,мотать; обматывать,мотать; обматывать,,,,,,,
2088,fu4,赋,,рифмованная проза,рифмованная проза,,,,,,,
2089,chou4,臭,,вонючий; тухлый; протухнуть,вонючий; тухлый; протухнуть,,,,,,,
2090,jin1,筋,,"мускулы, мышцы","мускулы, мышцы",,,,,,,
2091,ma3,玛,,агат,агат,,,,,,,
2092,xiang1,厢,,флигель,флигель,,,,,,,
2093,qie4,窃,,"воровать, красть; кража","воровать, красть; кража",,,,,,,
2094,mu4,墓,,могила; гробница; мавзолей,могила; гробница; мавзолей,,,,,,,
2095,jie2,竭,,исчерпать; истощить,исчерпать; истощить,,,,,,,
2096,wang4,旺,,буйный; пышный; процветающий,буйный; пышный; процветающий,,,,,,,
2097,ding1,钉,,гвоздь,гвоздь,,,,,,,
2098,mei2,霉,,плесень; плесневой грибок,плесень; плесневой грибок,,,,,,,
2099,lu4,碌,,"заурядный, посредственный, бездарный","заурядный, посредственный, бездарный",,,,,,,
2100,yu2,舆,,экипаж,экипаж,,,,,,,
2101,lu4,鹿,,олень,олень,,,,,,,
2102,gan1,肝,,печень; печёнка,печень; печёнка,,,,,,,
2103,zang4,葬,,хоронить; погребение,хоронить; погребение,,,,,,,
2104,shi4,誓,,"давать клятву, клясться; присягать; клятва","давать клятву, клясться; присягать; клятва",,,,,,,
2105,xiao4,孝,,почитать родителей; сыновья почтительность,почитать родителей; сыновья почтительность,,,,,,,
2106,lü3,履,,обувь,обувь,,,,,,,
2107,jian4,箭,,стрела,стрела,,,,,,,
2108,qi4,契,,купчая; контракт,купчая; контракт,,,,,,,
2109,du3,赌,,играть (в азартные игры),играть (в азартные игры),,,,,,,
2110,jiao4,轿,,"паланкин, носилки","паланкин, носилки",,,,,,,
2111,chuang3,闯,,ворваться; вломиться,ворваться; вломиться,,,,,,,
2112,mu3,亩,,"1) высокая межа; 2) му (мера площади, равная 1/15 га)","1) высокая межа; 2) му (мера площади, равная 1/15 га)",,,,,,,
2113,juan4,倦,,утомлённый; усталый; утомиться; устать,утомлённый; усталый; утомиться; устать,,,,,,,
2114,dui4,兑,,"менять; обменивать (напр., валюту)","менять; обменивать (напр., валюту)",,,,,,,
2115,nian4,廿,,двадцать,двадцать,,,,,,,
2116,xi1,锡,,олово; оловянный,олово; оловянный,,,,,,,
2117,tao1,掏,,вынимать; вытаскивать,вынимать; вытаскивать,,,,,,,
2118,lin2,琳,,дорогие и красивые вещи,дорогие и красивые вещи,,,,,,,
2119,zhou1,粥,,кашица; жидкая каша,кашица; жидкая каша,,,,,,,
2120,wan3,挽,,"тащить, тянуть","тащить, тянуть",,,,,,,
2121,tong3,桶,,кадка; ведро; бидон; бочка,кадка; ведро; бидон; бочка,,,,,,,
2122,chuan3,喘,,тяжело дышать; задыхаться,тяжело дышать; задыхаться,,,,,,,
2123,ba1,叭,,"звукоподр. хрусту, треску, хлопанью; хлопнуть; треснуть","звукоподр. хрусту, треску, хлопанью; хлопнуть; треснуть",,,,,,,
2124,yong3,泳,,плавать; плавание,плавать; плавание,,,,,,,
2125,kan1,堪,,"мочь, быть в состоянии","мочь, быть в состоянии",,,,,,,
2126,yun4,韵,,мелодичные звуки,мелодичные звуки,,,,,,,
2127,lan2,拦,,преграждать; препятствовать; задерживать,преграждать; препятствовать; задерживать,,,,,,,
2128,xiao1,肖,,походить; быть похожим,походить; быть похожим,,,,,,,
2129,sou1,艘,,сч. сл. для кораблей,сч. сл. для кораблей,,,,,,,
2130,chen4,衬,,подкладывать (снизу); поддевать (одежду),подкладывать (снизу); поддевать (одежду),,,,,,,
2131,rang3,壤,,почва; земля,почва; земля,,,,,,,
2132,shen4,慎,,осмотрительный; осторожный,осмотрительный; осторожный,,,,,,,
2133,shu4,竖,,поставить (вертикально); водрузить,поставить (вертикально); водрузить,,,,,,,
2134,zei2,贼,,вор; жулик,вор; жулик,,,,,,,
2135,huo4,霍,,быстро; внезапно; вдруг,быстро; внезапно; вдруг,,,,,,,
2136,bang4,傍,,вблизи; около; приближаться,вблизи; около; приближаться,,,,,,,
2137,bu4,怖,,бояться; испугаться; страх,бояться; испугаться; страх,,,,,,,
2138,gong1,恭,,1) почитать; уважать; 2) поздравлять,1) почитать; уважать; 2) поздравлять,,,,,,,
2139,yi3,矣,,глагольный суффикс завершенности действия,глагольный суффикс завершенности действия,,,,,,,
2140,za2,砸,,бить; ударять; стучать; колоть (орехи),бить; ударять; стучать; колоть (орехи),,,,,,,
2141,qi1,凄,,холодный,холодный,,,,,,,
2142,xian1,掀,,поднять; приподнять,поднять; приподнять,,,,,,,
2143,jin1,巾,,платок; полотенце; повязка; шарф,платок; полотенце; повязка; шарф,,,,,,,
2144,mao2,茅,,императа цилиндрическая,императа цилиндрическая,,,,,,,
2145,yu4,裕,,обильный; богатый,обильный; богатый,,,,,,,
2146,cheng3,惩,,"наказывать, карать","наказывать, карать",,,,,,,
2147,shun4,瞬,,миг; мгновение,миг; мгновение,,,,,,,
2148,xia1,虾,,рак; креветка,рак; креветка,,,,,,,
2149,hou2,喉,,гортань; горло; глотка,гортань; горло; глотка,,,,,,,
2150,zhang4,账,,счёт; опись; счётные книги,счёт; опись; счётные книги,,,,,,,
2151,cai3,踩,,топтать; наступать на что-либо,топтать; наступать на что-либо,,,,,,,
2152,la4,蜡,,воск; восковой,воск; восковой,,,,,,,
2153,di4,蒂,,плодоножка; цветоножка,плодоножка; цветоножка,,,,,,,
2154,tan2,谭,,Тань (фамилия); обсуждать,Тань (фамилия); обсуждать,,,,,,,
2155,ming2,铭,,"надпись (напр., на камне)","надпись (напр., на камне)",,,,,,,
2156,zao4,燥,,сухой; засушливый,сухой; засушливый,,,,,,,
2157,feng1,蜂,,пчела; пчелиный,пчела; пчелиный,,,,,,,
2158,zhong3,肿,,опухать; опухоль,опухать; опухоль,,,,,,,
2159,weng1,翁,,старик,старик,,,,,,,
2160,chou2,酬,,вознаградить; отблагодарить,вознаградить; отблагодарить,,,,,,,
2161,wei2,惟,,"только, лишь","только, лишь",,,,,,,
2162,shuang3,爽,,светлый; ясный; погожий,светлый; ясный; погожий,,,,,,,
2163,xia1,瞎,,ослепнуть; слепой,ослепнуть; слепой,,,,,,,
2164,wei4,魏,,дин. Вэй,дин. Вэй,,,,,,,
2165,xi1,腊,,вялить; коптить,вялить; коптить,,,,,,,
2166,xian2,咸,,солёный,солёный,,,,,,,
2167,zhi1,芝,,кунжут; сезам,кунжут; сезам,,,,,,,
2168,chao1,钞,,банкнота; кредитный билет; деньги (бумажные),банкнота; кредитный билет; деньги (бумажные),,,,,,,
2169,gua3,寡,,мало; немного,мало; немного,,,,,,,
2170,zhai3,窄,,узкий; тесный,узкий; тесный,,,,,,,
2171,tang4,趟,,сч. сл. раз,сч. сл. раз,,,,,,,
2172,xi1,昔,,в прошлом; прежде; прежний; прошлый,в прошлом; прежде; прежний; прошлый,,,,,,,
2173,cui4,翠,,светло-зелёный; изумрудный,светло-зелёный; изумрудный,,,,,,,
2174,wu4,勿,,не; не надо,не; не надо,,,,,,,
2175,xie2,邪,,порок; порочный; зло; ересь,порок; порочный; зло; ересь,,,,,,,
2176,mi4,蜜,,1) мёд; 2) сладкий,1) мёд; 2) сладкий,,,,,,,
2177,hong2,虹,,радуга,радуга,,,,,,,
2178,tang3,倘,,если,если,,,,,,,
2179,dian4,垫,,подкладывать; подстилать,подкладывать; подстилать,,,,,,,
2180,xie1,歇,,отдыхать,отдыхать,,,,,,,
2181,zai1,栽,,"сажать, выращивать, культивировать","сажать, выращивать, культивировать",,,,,,,
2182,wei4,畏,,"бояться, страшиться","бояться, страшиться",,,,,,,
2183,dai4,逮,,"поймать; схватить; задержать (напр., преступника)","поймать; схватить; задержать (напр., преступника)",,,,,,,
2184,xi2,媳,,сноха; невестка,сноха; невестка,,,,,,,
2185,yu4,豫,,радоваться; радостный,радоваться; радостный,,,,,,,
2186,huang2,惶,,пугаться; страшиться; впадать в панику,пугаться; страшиться; впадать в панику,,,,,,,
2187,jing3,颈,,шея; горло,шея; горло,,,,,,,
2188,si1,撕,,"рвать, разрывать; сорвать","рвать, разрывать; сорвать",,,,,,,
2189,shou4,兽,,зверь; дикие животные; звериный; зверский,зверь; дикие животные; звериный; зверский,,,,,,,
2190,ru3,乳,,грудь; вымя,грудь; вымя,,,,,,,
2191,shen4,渗,,просачиваться; проникать,просачиваться; проникать,,,,,,,
2192,zha1,渣,,выжимки; жмыхи; отстой; шлак,выжимки; жмыхи; отстой; шлак,,,,,,,
2193,zhao1,昭,,ясный; очевидный,ясный; очевидный,,,,,,,
2194,xuan2,玄,,"таинственный; мистический; нереальный; тёмный, глубокий","таинственный; мистический; нереальный; тёмный, глубокий",,,,,,,
2195,beng1,崩,,"обвал; обвалиться, обрушиться","обвал; обвалиться, обрушиться",,,,,,,
2196,chi4,翅,,крылья,крылья,,,,,,,
2197,fan1,帆,,парус,парус,,,,,,,
2198,la1,垃,,мусор; отбросы,мусор; отбросы,,,,,,,
2199,xun4,逊,,скромный,скромный,,,,,,,
2200,fan4,贩,,закупать,закупать,,,,,,,
2201,chun2,唇,,губа; губы,губа; губы,,,,,,,
2202,niao4,尿,,моча,моча,,,,,,,
2203,mu4,穆,,торжественный; почтительный,торжественный; почтительный,,,,,,,
2204,shuang1,霜,,иней,иней,,,,,,,
2205,re3,惹,,"вызывать (напр., чувства, действия); возбуждать; трогать; задевать","вызывать (напр., чувства, действия); возбуждать; трогать; задевать",,,,,,,
2206,zhi4,帜,,флаг; знамя,флаг; знамя,,,,,,,
2207,ai1,唉,,межд. согласия,межд. согласия,,,,,,,
2208,bei1,碑,,монумент; стела; надгробный памятник,монумент; стела; надгробный памятник,,,,,,,
2209,ping1,乒,,бац; хлоп,бац; хлоп,,,,,,,
2210,yu4,浴,,купаться; мыться; купание; перен. Ванна,купаться; мыться; купание; перен. Ванна,,,,,,,
2211,shen1,绅,,1) шэньши; джентри (чиновник); 2) джентльмен,1) шэньши; джентри (чиновник); 2) джентльмен,,,,,,,
2212,ye2,耶,,Иисус,Иисус,,,,,,,
2213,gao1,糕,,кекс; пирожное,кекс; пирожное,,,,,,,
2214,dun1,蹲,,сидеть на корточках; перен. сидеть,сидеть на корточках; перен. сидеть,,,,,,,
2215,hui1,徽,,отличительный знак; эмблема; герб,отличительный знак; эмблема; герб,,,,,,,
2216,xin1,薪,,жалованье; оклад,жалованье; оклад,,,,,,,
2217,ling2,玲,,"звукоподр. звону; звон, звенеть","звукоподр. звону; звон, звенеть",,,,,,,
2218,lun2,纶,,"сучёная нить; леса, леска; струна","сучёная нить; леса, леска; струна",,,,,,,
2219,jiao3,缴,,"вносить, уплачивать; сдавать","вносить, уплачивать; сдавать",,,,,,,
